"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2025","8,458.50","8,851.00","8,950.00","8,390.00","3.65K","-4.86%"
"04/29/2025","8,891.00","9,055.00","9,188.00","8,837.00","5.58K","-0.57%"
"04/28/2025","8,942.00","9,380.00","9,427.00","8,905.00","7.01K","-4.79%"
"04/25/2025","9,392.00","9,135.00","9,500.00","9,069.00","9.92K","2.86%"
"04/24/2025","9,131.00","8,803.00","9,213.00","8,622.00","6.81K","2.81%"
"04/23/2025","8,881.00","9,102.00","9,315.00","8,659.00","8.52K","-2.59%"
"04/22/2025","9,117.00","8,494.00","9,149.00","8,476.00","11.67K","4.78%"
"04/21/2025","8,701.00","8,300.00","8,887.00","8,300.00","9.01K","4.89%"
"04/17/2025","8,295.00","8,059.00","8,450.00","8,059.00","8.55K","3.61%"
"04/16/2025","8,006.00","7,885.00","8,086.00","7,781.00","7.35K","1.01%"
"04/15/2025","7,926.00","8,105.00","8,276.00","7,871.00","6.71K","-2.86%"
"04/14/2025","8,159.00","8,348.00","8,535.00","8,100.00","9.53K","-4.14%"
"04/11/2025","8,511.00","8,150.00","8,538.00","8,088.00","3.61K","5.23%"
"04/10/2025","8,088.00","8,473.00","8,576.00","8,045.00","6.65K","-4.25%"
"04/09/2025","8,447.00","7,656.00","8,500.00","7,656.00","5.67K","8.92%"
"04/08/2025","7,755.00","8,096.00","8,200.00","7,677.00","6.81K","-3.70%"
"04/07/2025","8,053.00","8,430.00","8,729.00","7,963.00","10.69K","-5.39%"
"04/04/2025","8,512.00","9,265.00","9,335.00","8,450.00","23.98K","-8.38%"
"04/03/2025","9,291.00","8,884.00","9,492.00","8,884.00","16.48K","3.60%"
"04/02/2025","8,968.00","8,341.00","9,035.00","8,326.00","12.78K","9.67%"
"04/01/2025","8,177.00","7,998.00","8,422.00","7,981.00","9.54K","3.48%"
"03/31/2025","7,902.00","7,973.00","8,115.00","7,808.00","7.74K","-1.74%"
"03/28/2025","8,042.00","7,933.00","8,104.00","7,880.00","5.00K","0.79%"
"03/27/2025","7,979.00","7,970.00","8,225.00","7,900.00","6.52K","-0.81%"
"03/26/2025","8,044.00","8,061.00","8,200.00","7,940.00","6.81K","0.61%"
"03/25/2025","7,995.00","8,075.00","8,147.00","7,912.00","5.14K","-1.04%"
"03/24/2025","8,079.00","7,807.00","8,171.00","7,806.00","7.78K","4.04%"
"03/21/2025","7,765.00","8,036.00","8,146.00","7,639.00","8.89K","-3.79%"
"03/20/2025","8,071.00","8,084.00","8,356.00","7,916.00","7.00K","-0.62%"
"03/19/2025","8,121.00","7,930.00","8,249.00","7,884.00","5.59K","1.25%"
"03/18/2025","8,021.00","7,837.00","8,212.00","7,784.00","5.93K","2.48%"
"03/17/2025","7,827.00","7,830.00","7,988.00","7,777.00","6.26K","1.28%"
"03/14/2025","7,728.00","7,728.00","7,728.00","7,728.00","8.33K","-3.77%"
"03/13/2025","8,031.00","8,415.00","8,415.00","8,415.00","0.00K","-2.11%"
"03/12/2025","8,204.00","8,204.00","8,204.00","8,204.00","6.49K","0.65%"
"03/11/2025","8,151.00","8,151.00","8,151.00","8,151.00","7.70K","-1.55%"
"03/10/2025","8,279.00","8,279.00","8,279.00","8,279.00","8.42K","-0.16%"
"03/07/2025","8,292.00","8,181.00","8,678.00","8,138.00","9.20K","1.28%"
"03/06/2025","8,187.00","8,009.00","8,327.00","7,940.00","8.01K","1.50%"
"03/05/2025","8,066.00","8,557.00","8,780.00","7,976.00","8.86K","-3.70%"
"03/04/2025","8,376.00","8,004.00","8,632.00","7,770.00","15.53K","2.00%"
"03/03/2025","8,212.00","8,946.00","8,954.00","8,105.00","13.16K","-10.00%"
"02/28/2025","9,124.00","9,233.00","9,279.00","8,785.00","7.70K","-1.42%"
"02/27/2025","9,255.00","9,216.00","9,338.00","8,907.00","11.90K","0.27%"
"02/26/2025","9,230.00","8,780.00","9,309.00","8,731.00","7.90K","4.83%"
"02/25/2025","8,805.00","8,450.00","8,830.00","8,335.00","10.66K","3.81%"
"02/24/2025","8,482.00","9,325.00","9,460.00","8,308.00","17.83K","-7.20%"
"02/21/2025","9,140.00","10,250.00","10,300.00","9,124.00","24.90K","-10.98%"
"02/20/2025","10,267.00","10,334.00","10,414.00","10,198.00","9.36K","-1.28%"
"02/19/2025","10,400.00","10,413.00","10,539.00","10,303.00","6.99K","-0.87%"
"02/18/2025","10,491.00","10,320.00","10,521.00","10,210.00","10.09K","1.61%"
"02/14/2025","10,325.00","10,572.00","10,715.00","10,255.00","8.50K","-2.02%"
"02/13/2025","10,538.00","10,200.00","10,610.00","10,188.00","9.63K","4.02%"
"02/12/2025","10,131.00","10,269.00","10,440.00","10,035.00","12.73K","-1.66%"
"02/11/2025","10,302.00","9,917.00","10,323.00","9,889.00","8.94K","4.29%"
"02/10/2025","9,878.00","9,959.00","10,066.00","9,739.00","15.31K","-2.32%"
"02/07/2025","10,113.00","10,046.00","10,353.00","9,650.00","17.30K","-0.14%"
"02/06/2025","10,127.00","10,483.00","10,492.00","9,911.00","15.75K","-3.71%"
"02/05/2025","10,517.00","10,770.00","10,822.00","10,426.00","11.44K","-3.20%"
"02/04/2025","10,865.00","10,927.00","11,039.00","10,609.00","9.36K","-0.43%"
"02/03/2025","10,912.00","10,875.00","11,175.00","10,668.00","8.21K","-0.68%"
"01/31/2025","10,987.00","11,094.00","11,200.00","10,533.00","11.42K","-1.96%"
"01/30/2025","11,207.00","11,694.00","11,733.00","11,047.00","6.99K","-4.08%"
"01/29/2025","11,684.00","11,539.00","11,784.50","11,539.00","6.82K","2.46%"
"01/28/2025","11,404.00","11,401.00","11,404.00","11,401.00","4.99K","-0.25%"
"01/27/2025","11,433.00","11,425.00","11,433.00","11,412.00","6.49K","-1.63%"
"01/24/2025","11,623.00","11,637.00","11,637.00","11,623.00","5.60K","0.54%"
"01/23/2025","11,561.00","11,570.00","11,577.00","11,561.00","6.88K","-1.04%"
"01/22/2025","11,682.00","11,688.00","11,688.00","11,667.00","8.29K","1.23%"
"01/21/2025","11,540.00","11,527.00","11,549.00","11,361.50","7.88K","3.28%"
"01/17/2025","11,173.00","11,153.00","11,173.00","11,149.00","9.06K","6.73%"
"01/16/2025","10,468.00","10,468.00","10,478.00","10,460.00","8.93K","-3.96%"
"01/15/2025","10,900.00","10,888.00","10,900.00","10,877.00","4.97K","-0.27%"
"01/14/2025","10,929.00","10,929.00","10,929.00","10,929.00","6.41K","0.00%"
"01/13/2025","10,929.00","10,912.00","10,929.00","10,912.00","5.89K","3.31%"
"01/10/2025","10,579.00","10,569.00","10,585.00","10,567.00","6.68K","-3.63%"
"01/09/2025","10,978.00","10,965.00","10,978.00","10,950.00","10.19K","-1.83%"
"01/08/2025","11,183.00","11,161.00","11,193.00","11,161.00","10.59K","-0.36%"
"01/07/2025","11,223.00","11,221.00","11,225.00","11,221.00","5.42K","0.21%"
"01/06/2025","11,199.00","11,209.00","11,211.00","11,188.00","7.77K","-3.18%"
"01/03/2025","11,567.00","11,599.00","11,600.00","11,567.00","4.50K","3.13%"
"01/02/2025","11,216.00","11,217.00","11,217.00","11,216.00","6.29K","-2.85%"
"12/31/2024","11,545.00","11,498.00","11,545.00","11,498.00","11.08K","2.70%"
